Clean_Text,Emotion
checked email update,Neutral
hate never give clear instruction,Angry
laptop crashed,Sad
scared competitive internship process,Fear
academic writing skill reaching new level,Joy
attended research workshop,Neutral
lucky great friend,Joy
reviewed methodological rigor,Neutral
academic achievement losing meaning,Sad
lost file important document,Sad
fear running time,Fear
felt enraged project denial,Angry
worried department scrutiny,Fear
professor undervalued contribution,Angry
campus orientation next week,Neutral
missed lecture favourite lecturer,Sad
happy yesterday,Joy
got upset group project sabotage,Angry
handle advanced coursework,Fear
hostel electricity go time,Angry
creative work heavily criticized,Sad
afraid scholarship rejection,Fear
hate going lecture,Angry
attended academic gathering,Neutral
best university,Joy
first class degree upto,Joy
could join field trip,Sad
academic journey inspiring others,Joy
scared peer competition,Fear
get enough support supervisor,Sad
got rejected academic society,Sad
submitted policy analysis,Neutral
afraid missing submission deadline,Fear
lecture aat pm l room,Neutral
happy grade,Joy
afraid academic integrity violation,Fear
fight someone,Sad
instructor dismissed effort,Angry
group presentation grade unfair,Angry
anxious everything riht,Fear
completed intervention research,Neutral
mad every one right,Angry
girl,Neutral
completed grant application,Neutral
today home,Neutral
cired lot yesterday,Sad
happy submitted assignment time,Joy
scholarship application got rejected,Sad
academic progress stalled indefinitely,Sad
academic network changing world better,Joy
lab partner broke expensive equipment,Angry
nervous wonot understand question,Fear
attended career fair,Neutral
walked campus library,Neutral
projector bulb replaced,Neutral
attended academic seminar,Neutral
missed lecture today,Sad
public speaking championship,Joy
revising quiz,Neutral
attended scholarly conference,Neutral
make new friend,Fear
project collaboration fell,Sad
professor gave harsh criticism project,Sad
completed evaluation study,Neutral
afraid fitting socially,Fear
submitted historical study,Neutral
everyon come gorund pm,Neutral
tommrow going anuradhapura town,Neutral
completed correlational study,Neutral
anxious comprehensive exam,Fear
attended thesis workshop,Neutral
anxious future,Fear
could attend job fair,Sad
attended scholarly meeting,Neutral
classmate criticized idea harshly,Angry
got cut competitive internship,Sad
group left presentation,Sad
got accepted dream major,Joy
could go home month,Sad
research got accepted publication,Joy
academic network expanding rapidly,Joy
shared cake library lounge,Joy
afraid meeting advisor expectation,Fear
campus interview led job opportunity,Joy
nervous thesis submission,Fear
found textbook library,Neutral
professor refused recommend advancement,Sad
failed important subject,Sad
scared negative peer review,Fear
failed everything,Sad
got anxious senior,Fear
registration next semester open tomorrow,Neutral
reviewed research design,Neutral
anxious medical school interview,Fear
exam dififcult,Sad
internet always slow need,Angry
project proposal good,Joy
got low grade every exam,Sad
professor criticized conceptual framework,Sad
lecturer showed interest research,Sad
research project lack coherent direction,Sad
instructor publicly criticized methodology,Angry
campus social activity lack diversity,Angry
got accepted exclusive academic council,Joy
get selected leadership program,Sad
missed family badly,Sad
felt provoked lab evaluation,Angry
got invitation lead global academic initiative,Joy
ac working,Neutral
research collaboration achieving cosmic harmony,Joy
failed subject worked hard,Sad
thesis committee satisfied,Sad
got irritated continuous criticism,Angry
got frustrated evaluation process,Angry
professor u powerpoint slide,Neutral
campus newspaper published article,Joy
lab result sabotaged someone,Angry
win match,Sad
library computer always broken,Angry
need submit course reflection,Neutral
completed descriptive study,Neutral
need check course prerequisite,Neutral
friend shared funny story today,Joy
hate rude senior,Angry
got diagnosed learning disability,Sad
academic performance consistently disappointing,Sad
donot like see face,Angry
professor gave feedback assignment,Neutral
feel angry,Angry
cancel trip,Sad
completed qualitative research,Neutral
attended workshop research method,Neutral
worrying st year,Fear
felt ignored research discussion,Angry
anxious peer pressure situation,Fear
unsuccessful everything,Sad
felt frustrated group dynamic,Angry
academic achievement leaving lasting legacy,Joy
professor refused thesis committee participation,Sad
academic performance expectation consistently,Sad
research finding exceeded expectation,Joy
go gym,Neutral
classmate challenged competence,Angry
hate everyone talk behind back,Angry
got highest grade every subject,Joy
academic confidence completely shattered,Sad
got rejected scholarly publication,Sad
professor recommended fellowship,Joy
sad father condition,Sad
back back lecture,Angry
group project partner never show,Angry
got upset exam scoring mistake,Angry
classmate took credit work,Angry
hall booked event,Neutral
attended guest speaker presentation,Neutral
academic skill creating unprecedented impact,Joy
nervous judged professor,Fear
professor invited academic symposium,Joy
professor invited conference,Joy
experiment produced amazing result,Joy
anxious writing thesis,Fear
submitted methodological paper,Neutral
nervous final grade,Fear
assignment file big upload,Neutral
professor questioned research competence,Sad
hate ignore student complaint,Angry
afraid making presentation mistake,Fear
felt provoked group discussion,Angry
got frustrated conflicting instruction,Angry
hate going lecture,Angry
stressed work load,Fear
scored well cricket match,Joy
research approach fundamentally wrong,Sad
bringing laptop charger,Neutral
got offered position top consulting firm,Joy
submitted study,Neutral
academic mentor witnessing extraordinary success,Joy
lecturer never explains thing properly,Angry
submitted research proposal,Neutral
lost seat library,Sad
lab report due friday,Neutral
worried advisor disappointment,Fear
course syllabus updated,Neutral
